# English voice loudness, measured at volume=1.0, sample='I finished the refactor and all the tests pass.'. RMS dBFS (higher=louder). Sorted loudest first.
rms_dbfs	name	voice_id
-23.2	Jewel - Commercial Announcer	f39d8500-0d9b-4b8b-a080-38f5188f5892
-23.2	Selene - Soothing Aura	63927f41-9616-4ac2-89cf-f3afa346e0ef
-23.3	Joanie - Vibrant Speaker	a7b8d8fa-f6e5-4908-900e-0c11d1d82519
-23.3	Allie - Natural Conversationalist	2747b6cf-fa34-460c-97db-267566918881
-23.3	Amber - Warm Support Agent	a7a59115-2425-4192-844c-1e98ec7d6877
-23.3	Jamie - Comforting Presence	b5c1bab5-f036-481f-9295-4db6f06f6443
-23.4	Tara - Confident Ally	3308b492-50cc-417e-89dd-1f446c574546
-23.4	Dana - Balanced Spirit	cc00e582-ed66-4004-8336-0175b85c85f6
-23.4	Zoey - Bright Voice	48369ca9-0645-40de-9821-0d55e18a03c2
-23.4	Lila - Meditation Guide	4af7c703-f2a9-45dd-a7fd-724cf7efc371
-23.5	Sophie - Teacher	bf0a246a-8642-498a-9950-80c35e9276b5
-23.5	Katie - Friendly Fixer	f786b574-daa5-4673-aa0c-cbe3e8534c02
-23.5	Evelyn - Digital Assistante	3c7dfd17-3fa8-47aa-aacc-6313fe025442
-23.5	Nadia - Singaporean Female	efddb3d2-4464-45e0-9f8a-fcd5fd4fc54f
-23.5	Brooke - Big Sister	e07c00bc-4134-4eae-9ea4-1a55fb45746b
-23.6	Vivian - Fierce Narrator	ca31ce53-ebf6-4e51-b87d-2f65d5d1f7f8
-23.7	Zander - Energetic Announcer	afb19d1b-4044-4f34-a962-f4aef640a002
-23.7	Natasha - Upbeat Guide	e2d08065-b658-466b-ad52-cef8ee21d307
-23.7	Marvin - Steady Ally	49808e4c-998a-40a8-b2ea-8ac8e8ce779e
-23.7	Luke - Broadway Voice	8e14933d-ecd7-402b-9505-795130d69b35
-23.7	Iris - Friendly Specialist	c894559e-d529-4d70-a6fb-3330ecf7ef6b
-23.7	Lori - Sad Cheerleader	2d01710c-7c77-4cf1-b0d0-5902a25f6e17
-23.7	Hugo - Teatime Friend	1463a4e1-56a1-4b41-b257-728d56e93605
-23.8	Edric - Refined Mentor	921034a2-aace-4ef7-87b1-b9bc455c9a15
-23.8	Jeremy - Energetic Promoter	6cb8801d-259a-4bdc-978f-b45808d58cd3
-23.9	Jasper - Service Specialist	3faa81ae-d3d8-4ab1-9e44-e50e46d33c30
-23.9	Sabrina - Casual Ally	0a9a5903-0a30-4d2e-b6b6-891f73d4b4e0
-23.9	Leo - Genuine Companion	0834f3df-e650-4766-a20c-5a93a43aa6e3
-24.0	Holly - Joyful Presence	aef96ff9-4578-4b5d-9744-7fb347cbe4d4
-24.0	James - Navigator	42b39f37-515f-4eee-8546-73e841679c1d
-24.0	Darius - Engaging Narrator	23112795-d54e-4560-9568-791a87c30201
-24.0	Daniel - Modern Assistant	47c38ca4-5f35-497b-b1a3-415245fb35e1
-24.1	Lori - Disgusted Cheerleader	414da90b-16b3-4e88-86f5-3c3945e8fa4b
-24.1	Lori - Scared Cheerleader	fb78f09f-f998-4061-ad51-d71f90388f0e
-24.1	Ariana - Kind Friend	ec1e269e-9ca0-402f-8a18-58e0e022355a
-24.2	Ross - Reliable Partner	f24ae0b7-a3d2-4dd1-89df-959bdc4ab179
-24.3	Madison - Happy Best Friend	62305e79-9d39-4643-b003-5e0b096fe4f4
-24.4	Colin - Assured Guide	e39b9fc0-23f5-4616-962a-da99c8ccb1dc
-24.4	Julian - Vibrant Voice	5319c0b1-3dd1-4c00-b721-bfd2ec88ef56
-24.4	Kiefer - Assured Tone	228fca29-3a0a-435c-8728-5cb483251068
-24.4	Tanner - Upbeat Assistant	710feaa3-b550-42f3-b3eb-6f37f2a7cc0a
-24.4	Elaine - Confident Guide	f0377496-2708-4cc9-b2f8-1b7fdb5e1a2a
-24.4	Steven - Big Brother	17488b72-f815-44d8-bdd9-869971c3ec06
-24.5	Serena - Laidback Girl	3ef78ba6-9aaa-46a2-b5b5-f9ded76a2370
-24.6	Molly - Upbeat Conversationalist	03b1c65d-4b7f-4c09-91a8-e2f6f78cb2c9
-24.6	Luke - Sad Broadway Voice	5c7b66c2-3b58-464d-8a12-093410a269c5
-24.7	Denise - Professional Woman	8a1b8af0-c4f6-423f-a268-5507fd4aefdf
-24.7	Preston - Relatable Pal	cd6256ef-2b2a-41f6-a8d8-c1307af5061f
-24.7	Damon - Commanding Narrator	dbfa416f-d5c3-4006-854b-235ef6bdf4fd
-24.8	Kira - Trusted Confidant	57dcab65-68ac-45a6-8480-6c4c52ec1cd1
-25.0	Regis - News Anchor	74f42072-6245-4fe2-b5dc-3dc9b56fdbd0
-25.1	Clara - Instructor	01eaafa9-308a-4276-a017-6ab0cf061b1f
-25.1	Edward - Persuasive Promoter	5fb68a42-0ed7-46fa-8a8f-ad4b332fbf6f
-25.2	Sean - Steady Companion	1cb5b8bc-77c9-4e7c-a251-da02348e2727
-25.2	Laurel - Caring Sister	cb6a8744-41b0-4cdc-b643-fabeb545c6a9
-25.5	Jace - Cool Conversationalist	6776173b-fd72-460d-89b3-d85812ee518d
-25.6	Elise - Helpful Voice	64b2a604-f0de-449f-9d90-255602357c05
-25.6	Parker - Supportive Pal	30894953-bcce-41fe-892c-15ce19c843ff
-25.6	Logan - Approachable Friend	ea7c252f-6cb1-45f5-8be9-b4f6ac282242
-25.6	Nora - Calm Companion	f4c1a0b2-669d-403f-b440-4b34b34856aa
-25.8	Aubrey - Easygoing Pal	87041166-c212-4838-9028-05d7437df750
-25.8	Diana - Animated Narrator	083de431-6b5c-4b18-a2dc-264eafa205f2
-25.8	Jillian - Happy Spirit	e4d5f4c4-6601-4779-bee1-b3c14d629dc6
-25.8	Carson - Sad Friendly Support	3246e36c-ac8c-418d-83cd-4eaad5a3b887
-25.9	Todd - Matter of Fact Salesman	efd255c7-f030-43d3-b5d8-c7b72063be70
-25.9	Natalie - Caring Specialist	b87d697c-0af2-4617-a72f-a17444b32d1b
-26.0	Kyle - Approachable Friend	c961b81c-a935-4c17-bfb3-ba2239de8c2f
-26.1	Monica - Emotive Voice	1b4ea5fb-b1c0-43ee-a7be-4e315878c2b1
